Me identifico,Tengo,Argentina,Años de experiencia,Años en el puesto actual,¿Tenés gente a cargo?,Nivel de estudios alcanzado,Estado,Carrera,Realizaste cursos de especialización,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,¿Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"¿Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),¿Bruto o neto?,¿Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a enero 2018,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste ajustes por inflación lo que va del año?,¿De qué % fue el ajuste?,Cantidad de empleados,¿Cambiaste de empresa en los últimos 6 meses?,¿Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,21 - 23,Ciudad Autónoma de Buenos Aires,Menos de un año,Menos de un año,0,Universitario,En curso,,No,QA / Tester,,,,Mix,Sql,,,,,Part-Time,14120,Neto,4,4,No,No recibo bono,Dos,0,1001-2000,No,No cambié de empresa,"Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles, Playroom, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,8,5,0,Terciario,En curso,informatica aplicada,No,technical support,,,,,,,,,,Tercerizado (trabajo a través de consultora o agencia),14600,Neto,1,1,No,No recibo bono,Uno,7,10001+,No,No cambié de empresa,nada
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,1,Menos de un año,0,Terciario,En curso,,"Sí, de forma particular",QA / Tester,,,,Funcional,-,,,,,Tercerizado (trabajo a través de consultora o agencia),14940,Neto,1,1,No,No recibo bono,No,0,501-1000,No,No cambié de empresa,"Clases de idiomas, Descuentos en gimnasios, Masajes"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,3,0,Universitario,Incompleto,Letras,"Sí, de forma particular",Developer,,"CSS, HTML, Javascript, jQuery, PHP",,,,,No,0,Bruto,Part-Time,15000,Neto,2,2,No,No recibo bono,Uno,50,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,Menos de un año,Menos de un año,0,Terciario,En curso,tecnicatura en analisis de sistemas,"Sí, de forma particular",Developer,,".NET, C#, CSS, HTML, Javascript, jQuery, Python, VB *",,,,,No,0,Neto,Full-Time,15000,Neto,3,3,No,Mix de las anteriores,Uno,0,11-50,Sí,Mejores beneficios,"Aumento por inflación, Descuentos en gimnasios, Laptop, WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,0,Terciario,En curso,Tecnicatura superior en programación ,"Sí, de forma particular",Soporte en sistemas,,,,,,,,,,Full-Time,15000,Neto,2,2,Menos de un sueldo,Mix de las anteriores,No,0,11-50,No,Desafíos profesionales,"Capacitaciones y/o cursos, Clases de idiomas, Cuota para universidad, Horarios flexibles, Viáticos"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,4,1,0,Universitario,Completado,Análisis de sistemas,"Sí, de forma particular",SysAdmin / DevOps,"Linux, Windows, Amazon Web Services","Javascript, PHP, Python",,,,,"Sí, pasiva",15000,Bruto,Full-Time,15000,Bruto,3,2,No,No recibo bono,No,0,1-10,No,Desafíos profesionales,Ninguna de las anteriores
Mujer,27 - 30,Ciudad Autónoma de Buenos Aires,4,1,0,Universitario,En curso,Ingeniería en Sistemas,No,Developer,,"Javascript, PHP",,,,,No,0,Porcentaje de mi sueldo,Full-Time,15000,Neto,1,1,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Horarios flexibles
Mujer,18 - 20,Ciudad Autónoma de Buenos Aires,1,1,0,Universitario,En curso,Ingeniería en sistemas,No,Developer,,"CSS, Javascript, PHP",,,,,No,0,Porcentaje de mi sueldo,Part-Time,15000,Neto,3,3,No,No recibo bono,No,0,11-50,No,No cambié de empresa,"Horarios flexibles, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,21 - 23,Ciudad Autónoma de Buenos Aires,2,2,0,Universitario,En curso,Ingenieria en sistemas,"Sí, de forma particular",DBA,,,,,,PostgreSQL,No,0,Porcentaje de mi sueldo,Full-Time,15000,Neto,1,3,No,No recibo bono,Uno,7,1-10,No,No cambié de empresa,Ninguna de las anteriores
