Me identifico,Tengo,Argentina,Anos de experiencia,Anos en el puesto actual,Gente a cargo,Cuanta,Nivel de estudios alcanzado,Estado,Carrera,Realizaste cursos de especializacion,Trabajo de,Tipo de contrato,Salario mensual (en tu moneda local),USD,Bruto o neto,Max Cantidad de empleados,Tecnologias que utilizas,Tecnologias que utilizas,Tecnologias que utilizas,Automation o funcional,Tecnologias que utilizas,Tecnologias que utilizas,Que tan conforme estas con tu sueldo,Como crees que esta tu sueldo con respecto a julio 2017,Recibis algun tipo de bono,A que esta atado el bono,Tuviste ajustes por inflacion en 2017,De que % fue el ajuste,Cambiaste de empresa en los ultimos 6 meses,Cual fue el principal motivo de cambio
Hombre,24 - 26,Santa Fe,Menos de un ano,1,No,0,Secundario,Completado,,"Si, de forma particular",Developer,Freelance,7000,369,Neto,10,,".NET, VB *",,,,,1,1,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,18 - 20,Provincia de Buenos Aires,Menos de un ano,Menos de un ano,No,0,Universitario,En curso,Ingenieria en Informatica,No,Developer,Part-Time,7000,369,Neto,10,,".NET, C#, CSS, HTML, Javascript, jQuery, PHP",,,,,3,1,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,21 - 23,Cordoba,Menos de un ano,Menos de un ano,No,0,Universitario,En curso,Ingenieria en Sistemas,"Si, de forma particular",QA / Tester,Part-Time,7000,369,Neto,500,,,"C++, Java, Python",Automation,OpenQA,,2,2,No,No recibo bono,No,0,Si,Desafios profesionales
Hombre,31 - 33,GBA,3,3,No,0,Universitario,Incompleto,Ingenieria en electronica,"Si, de forma particular",Mantenimiento general,Part-Time,7000,369,Bruto,100,,,,,,,1,2,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,24 - 26,Cordoba,3,3,No,0,Universitario,En curso,Ingenieria en Sistemas,"Si, de forma particular","Networking, Desarrollo Data Warehouse, Procesos Administrativos",Part-Time,7000,369,Neto,100,,,,,,,1,1,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,2,2,No,0,Terciario,En curso,,"Si, de forma particular",Developer,Full-Time,7000,369,Neto,10,,"C++, C#",,,,,1,1,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,21 - 23,Provincia de Buenos Aires,1,1,No,0,Secundario,Completado,Lenguas extranjeras,No,HelpDesk,Full-Time,7000,369,Neto,200,,,,,,,1,1,No,No recibo bono,No,0,No,No cambie de empresa
Mujer,37 - 40,Provincia de Buenos Aires,10+,10+,Si,1,Terciario,Completado,Tecnicatura superior en seguridad,No,Seguridad,Full-Time,7000,369,Neto,10001,,,,,,,2,1,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,24 - 26,Provincia de Buenos Aires,Menos de un ano,Menos de un ano,No,0,Universitario,En curso,Ingenieria en sistemas de informacion,No,Developer,Part-Time,7200,379,Neto,500,,"CSS, HTML, Javascript, NodeJS",,,,,3,1,No,No recibo bono,Uno,15,No,No cambie de empresa
Mujer,34 - 36,Ciudad Autonoma de Buenos Aires,7,10+,No,0,Terciario,Completado,,No,Architect,Full-Time,7250,382,Bruto,1000,,,,,,,1,1,No,No recibo bono,Mas de dos,14,No,No cambie de empresa
