Me identifico,Tengo,Argentina,Anos de experiencia,Anos en el puesto actual,Trabajo de,Tipo de contrato,Salario mensual (en tu moneda local),USD,Bruto o neto,Max Cantidad de empleados,Gente a cargo,Cuanta,Tecnologias que utilizas,Tecnologias que utilizas,Automation o funcional,Tecnologias que utilizas,Tecnologias que utilizas,Tenes guardias,Cuanto cobras por guardia (en tu moneda local),"Porcentaje, bruto o neto",Que tan conforme estas con tu sueldo,Como crees que esta tu sueldo con respecto a Julio 2016,Recibis algun tipo de bono,A que esta atado el bono,Tuviste ajustes por inflacion en 2016,De que % fue el ajuste,Cambiaste de empresa en los ultimos 6 meses,Cual fue el principal motivo de cambio,Beneficios extra
Mujer,27 - 30,Provincia de Buenos Aires,5,5,SysAdmin / DevOps,Full-Time,5666,352,Neto,1000,No,0,"Linux, Windows, VMWare",,,,,No,0,Porcentaje de mi sueldo,1,1,No,No recibo bono,Uno,5,No,No cambie de empresa,Ninguna de las anteriores
Hombre,24 - 26,GBA,4,4,Networking,Part-Time,5700,354,Bruto,10,No,0,Windows,,,,,No,0,Bruto,3,2,Un sueldo,Performance individual,Dos,15,No,No cambie de empresa,"Aumento por inflacion, Capacitaciones y/o cursos, Horarios flexibles, Viaticos, WFH (Trabajar desde casa)"
Hombre,24 - 26,Provincia de Buenos Aires,3,2,HelpDesk,Part-Time,5890,366,Neto,200,No,0,Windows,,,,,No,0,Bruto,2,1,No,No recibo bono,No,0,No,No cambie de empresa,Clases de idiomas
Hombre,24 - 26,La Rioja,5,2,HelpDesk,Part-Time,5900,367,Neto,100,No,0,Windows,,,,,"Si, pasiva",0,Neto,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,37 - 40,GBA,8,8,SysAdmin / DevOps,Part-Time,5900,367,Neto,500,No,0,Windows,,,,,No,0,Bruto,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Mujer,27 - 30,Santa Fe,3,2,Empleada de comercio,Part-Time,5900,367,Neto,10,No,0,Windows,,,,,No,0,Bruto,3,2,No,No recibo bono,Uno,15,No,No cambie de empresa,Ninguna de las anteriores
Mujer,18 - 20,Ciudad Autonoma de Buenos Aires,1,1,Developer,Part-Time,5979,372,Neto,10,No,0,Linux,,,,,No,0,Bruto,3,3,No,No recibo bono,Uno,10,No,No cambie de empresa,"Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,27 - 30,Misiones,Menos de un ano,Menos de un ano,DBA,Part-Time,6000,373,Bruto,100,Si,2,"*BSD, SQL",,,,,No,0,Porcentaje de mi sueldo,2,2,No,No recibo bono,No,0,Si,Salario,Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,21 - 23,Misiones,2,2,"Atencion al Publico, administracion general, repositorio",Part-Time,6000,373,Bruto,10,Si,1,Windows,,,,,No,0,Porcentaje de mi sueldo,2,2,Menos de un sueldo,Performance individual,No,0,No,No cambie de empresa,Abono de celular y/o Internet
Hombre,27 - 30,Neuquen,8,3,empleado de comercio,Full-Time,6000,373,Neto,100,No,0,"Linux, Windows, Amazon Web Services, OpenStack",,,,,No,0,Neto,1,1,No,No recibo bono,Uno,5,No,Salario,Ninguna de las anteriores
Hombre,21 - 23,Provincia de Buenos Aires,Menos de un ano,Menos de un ano,Developer,Part-Time,6000,373,Neto,10,No,0,No soy devops,,,,,No,0,Neto,1,2,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
