Me identifico,Tengo,Argentina,Anos de experiencia,Anos en el puesto actual,Gente a cargo,Cuanta,Trabajo de,Tipo de contrato,Salario mensual (en tu moneda local),USD,Bruto o neto,Max Cantidad de empleados,Tecnologias que utilizas,Tecnologias que utilizas,Tecnologias que utilizas,Automation o funcional,Tecnologias que utilizas,Tecnologias que utilizas,Tenes guardias,Cuanto cobras por guardia (en tu moneda local),"Porcentaje, bruto o neto",Que tan conforme estas con tu sueldo,Como crees que esta tu sueldo con respecto a Enero 2017,Recibis algun tipo de bono,A que esta atado el bono,Tuviste ajustes por inflacion en 2017,De que % fue el ajuste,Cambiaste de empresa en los ultimos 6 meses,Cual fue el principal motivo de cambio,Beneficios extra
Hombre,37 - 40,Ciudad Autonoma de Buenos Aires,10+,4,No,0,Analista Funcional,Full-Time,35000,2082,Neto,500,,,,,,,,,,3,2,No,No recibo bono,No,0,No,No cambie de empresa,"Descuentos varios (Clarin 365, Club La Nacion, programas de beneficios, etc), Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,37 - 40,Ciudad Autonoma de Buenos Aires,7,5,No,0,Analista funcional,Tercerizado (trabajo a traves de consultora o agencia),25000,1487,Neto,1001,,,,,,,,,,1,1,No,No recibo bono,Uno,20,No,No cambie de empresa,Abono de celular y/o Internet
Mujer,37 - 40,Ciudad Autonoma de Buenos Aires,10+,3,No,0,Analista Funcional,Full-Time,30593,1819,Neto,200,,,,,,,,,,2,2,No,No recibo bono,No,20,No,No cambie de empresa,"Clases de idiomas, Laptop, WFH (Trabajar desde casa)"
Mujer,37 - 40,Ciudad Autonoma de Buenos Aires,7,5,No,0,Analista Funcional,Full-Time,30000,1784,Neto,1000,,,,,,,,,,3,2,Menos de un sueldo,Performance grupal,Uno,10,No,No cambie de empresa,Ninguna de las anteriores
Hombre,34 - 36,Ciudad Autonoma de Buenos Aires,5,3,No,0,Analista Funcional,Full-Time,40000,2379,Bruto,1001,,,,,,,,,,3,3,Un sueldo,Mix de las anteriores,Dos,20,No,No cambie de empresa,"Abono de celular y/o Internet, Bonos por desempeno, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Horarios flexibles"
Hombre,34 - 36,La Pampa,10+,3,No,0,Analista Funcional,Full-Time,30500,1814,Bruto,1000,,,,,,,,,,2,2,No,No recibo bono,No,0,No,No cambie de empresa,"Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Descuentos varios (Clarin 365, Club La Nacion, programas de beneficios, etc), Laptop"
Hombre,34 - 36,Ciudad Autonoma de Buenos Aires,10+,6,No,0,Analista Funcional,Tercerizado (trabajo a traves de consultora o agencia),27162,1615,Neto,200,,,,,,,,,,3,2,No,No recibo bono,Dos,10,No,No cambie de empresa,"Aumento por inflacion, Descuentos en gimnasios, Laptop, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias)"
Mujer,34 - 36,GBA,10+,3,No,0,Analista Funcional,Full-Time,37000,2201,Bruto,200,,,,,,,,,,2,1,No,No recibo bono,No,0,Si,Despido,"Laptop, Snacks, golosinas, bebidas"
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,8,2,No,0,Analista funcional,Full-Time,48000,2855,Bruto,1000,,,,,,,,,,3,2,Un sueldo,Performance de la compania,Uno,9,No,Salario,"Aumento por inflacion, Bonos por desempeno, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Laptop, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,31 - 33,GBA,6,2,No,0,Analista funcional,Tercerizado (trabajo a traves de consultora o agencia),42000,2498,Bruto,1001,,,,,,,,,,2,2,No,No recibo bono,Dos,23,No,No cambie de empresa,"Aumento por inflacion, Clases de idiomas"
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,10+,3,No,0,Analista Funcional,Full-Time,31000,1844,Neto,200,,,,,,,,,,3,3,No,No recibo bono,No,0,No,No cambie de empresa,"Aumento por inflacion, Capacitaciones y/o cursos"
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,8,3,No,0,Analista Funcional,Full-Time,28500,1695,Bruto,200,,,,,,,,,,2,2,No,No recibo bono,Dos,13,No,No cambie de empresa,"Abono de celular y/o Internet, Descuentos varios (Clarin 365, Club La Nacion, programas de beneficios, etc), Laptop"
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,8,6,No,0,Analista Funcional,Full-Time,28000,1665,Neto,200,,,,,,,,,,2,1,No,No recibo bono,Uno,10,No,No cambie de empresa,"Abono de celular y/o Internet, Clases de idiomas, Descuentos en gimnasios, Horarios flexibles, Laptop, Masajes"
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,10+,10+,Si,2,Analista Funcional,Full-Time,28000,1665,Neto,500,,,,,,,,,,2,2,No,No recibo bono,Uno,10,No,No cambie de empresa,"Abono de celular y/o Internet, Laptop"
Hombre,31 - 33,GBA,3,3,No,0,Analista funcional,Full-Time,27000,1606,Neto,1000,,,,,,,,,,2,3,De uno a tres sueldos,Mix de las anteriores,Uno,25,No,No cambie de empresa,"Abono de celular y/o Internet, Bonos por desempeno"
Mujer,31 - 33,Ciudad Autonoma de Buenos Aires,10+,6,No,0,Analista Funcional,Full-Time,32000,1903,Neto,500,,,,,,,,,,2,2,No,No recibo bono,No,0,No,No cambie de empresa,"Capacitaciones y/o cursos, Laptop, WFH (Trabajar desde casa)"
